Plant,Event Date,Description,Result,ASP Report
Fitzpatrick,4/10/2020,High pressure coolant injection inoperable due to oil leak,3.00E-06,https://www.nrc.gov/docs/ML2110/ML21105A543.pdf
Clinton,1/20/2006,Potential air entrapment of HPCS due to incorrect suction source switch-over set point,4.00E-06,https://www.nrc.gov/docs/ML0703/ML070390148.pdf
Quad Cities 1,12/1/2005,SRVs were inoperable during extended power up-rate conditions,2.00E-06,https://www.nrc.gov/docs/ML0618/ML061800378.pdf
D.C. Cook 2,11/8/2005,Reactor trip from RCP bus under-voltage signal complicated by EDG output breaker failure,8.00E-06,https://www.nrc.gov/docs/ML0825/ML082530202.pdf
Turkey Point 3,11/7/2005,TDAFW pump failure due to improperly installed bearing,1.00E-06,https://www.nrc.gov/docs/ML0610/ML061090107.pdf
Waterford,8/29/2005,LOOP caused by Hurricane Katrina while plant was shutdown,2.00E-06,https://www.nrc.gov/docs/ML0627/ML062710035.pdf
Oconee 1,8/3/2005,Failure to control maintenance activities for SSF flooding boundary,3.00E-06,https://www.nrc.gov/docs/ML0632/ML063260282.pdf
Oconee 2,8/3/2005,Failure to control maintenance activities for SSF flooding boundary,3.00E-06,https://www.nrc.gov/docs/ML0632/ML063260282.pdf
Oconee 3,8/3/2005,Failure to control maintenance activities for SSF flooding boundary,3.00E-06,https://www.nrc.gov/docs/ML0632/ML063260282.pdf
Columbia,6/23/2005,Reactor trip due to feedwater pump trip caused by maintenance personnel error,1.00E-05,https://www.nrc.gov/docs/ML0627/ML062710039.pdf
Kewaunee,5/10/2005,Design deficiency could cause unavailability of safety-related equipment during postulated internal flooding,8.00E-05,https://www.nrc.gov/docs/ML0535/ML053570014.pdf
Millstone 3,4/17/2005,Inadvertent SI actuation with failure of TDAFW pump to start,8.00E-06,https://www.nrc.gov/docs/ML0631/ML063170289.pdf
Watts Bar 1,2/22/2005,LTOP valve actuations while shutdown,7.00E-06,https://www.nrc.gov/docs/ML0610/ML061000643.pdf
Indian Point 2,2/18/2005,Potential degradation of SI system due to nitrogen accumulation from leaking accumulator,4.00E-06,https://www.nrc.gov/docs/ML0631/ML063180121.pdf
Kewaunee,2/11/2005,"Several design deficiencies could lead to unavailability of AFW pumps during postulated events (e.g., HELB and tornado)",1.00E-05,https://www.nrc.gov/docs/ML0631/ML063170280.pdf
LaSalle 1,2/2/2005,Single failure vulnerability of bus protective relay schemes caused by common power metering circuits,5.00E-06,https://www.nrc.gov/docs/ML0525/ML052500698.pdf
LaSalle 2,2/2/2005,Single failure vulnerability of bus protective relay schemes caused by common power metering circuits,5.00E-06,https://www.nrc.gov/docs/ML0525/ML052500698.pdf
Crystal River,1/27/2005,Single failure vulnerability of bus protective relay schemes caused by common power metering circuits,5.00E-06,https://www.nrc.gov/docs/ML0526/ML052650156.pdf
River Bend,12/10/2004,Reactor trip due to loss of a non-vital instrument bus,3.00E-05,https://www.nrc.gov/docs/ML0627/ML062710038.pdf
Watts Bar 1,11/22/2004,CCW backup line from ERCW was unavailable due to silt blockage,8.00E-06,https://www.nrc.gov/docs/ML0631/ML063170266.pdf
Vogtle 2,11/20/2004,Reactor trip with SI and full-open demand from TBVs caused by operator error and failed circuit card,3.00E-06,https://www.nrc.gov/docs/ML0627/ML062710030.pdf
Fort Calhoun,10/19/2004,EDG inoperable due to blown fuse,4.00E-06,https://www.nrc.gov/docs/ML0631/ML063170256.pdf
Hope Creek,10/10/2004,Manual reactor scram due to moisture separator re-heater drain line failure,2.00E-06,https://www.nrc.gov/docs/ML0627/ML062710037.pdf
St. Lucie 1,9/25/2004,LOOP caused by Hurricane Jeanne while plant was shutdown,1.00E-05,https://www.nrc.gov/docs/ML0627/ML062710041.pdf
St. Lucie 2,9/25/2004,LOOP caused by Hurricane Jeanne while plant was shutdown,1.00E-05,https://www.nrc.gov/docs/ML0627/ML062710041.pdf
Palo Verde 1,7/30/2004,Containment sump recirculation potentially inoperable due to pipe voids,1.00E-05,https://www.nrc.gov/docs/ML0602/ML060240389.pdf
Palo Verde 2,7/30/2004,Containment sump recirculation potentially inoperable due to pipe voids,1.00E-05,https://www.nrc.gov/docs/ML0602/ML060240389.pdf
Palo Verde 3,7/30/2004,Containment sump recirculation potentially inoperable due to pipe voids,1.00E-05,https://www.nrc.gov/docs/ML0602/ML060240389.pdf
Palo Verde 1,6/14/2004,Multi-unit LOOP with failure of a Unit 2 EDG,9.00E-06,https://www.nrc.gov/docs/ML0517/ML051790379.pdf
Palo Verde 2,6/14/2004,Multi-unit LOOP with failure of a Unit 2 EDG,4.00E-05,https://www.nrc.gov/docs/ML0517/ML051790379.pdf
Palo Verde 3,6/14/2004,Multi-unit LOOP with failure of a Unit 2 EDG,9.00E-06,https://www.nrc.gov/docs/ML0517/ML051790379.pdf
Dresden 3,5/5/2004,Loss offsite power,3.00E-06,https://www.nrc.gov/docs/ML0602/ML060240407.pdf
Peach Bottom 3,3/17/2004,HPCI unavailable due failed flow controller,2.00E-06,https://www.nrc.gov/docs/ML0602/ML060240394.pdf
Palo Verde 2,2/19/2004,Failure to implement design of SG nozzle dam requiring extension of reduced inventory configuration,1.00E-06,https://www.nrc.gov/docs/ML2010/ML20100K882.pdf
Turkey Point 4,2/3/2004,Potential loss of RCP seal cooling during a postulated fire,7.00E-06,https://www.nrc.gov/docs/ML0603/ML060380069.pdf
Calvert Cliffs 2,1/23/2004,Reactor trip caused by loss of feedwater complicated by a failed relay causing overcooling,4.00E-06,https://www.nrc.gov/docs/ML0627/ML062710050.pdf
Brunswick 2,1/4/2004,EDG unavailable due to jacket water leak,2.00E-06,https://www.nrc.gov/docs/ML0517/ML051790348.pdf
Surry 1,11/3/2003,Potential loss of RCP seal cooling due to postulated fire damage to emergency switchgear,1.00E-06,https://www.nrc.gov/docs/ML0517/ML051790376.pdf
Surry 2,11/3/2003,Potential loss of RCP seal cooling due to postulated fire damage to emergency switchgear,1.00E-06,https://www.nrc.gov/docs/ML0517/ML051790376.pdf
Waterford,9/29/2003,Degraded EDG due to failed fuel line,2.00E-06,https://www.nrc.gov/docs/ML0511/ML051190648.pdf
Peach Bottom 3,9/15/2003,LOOP caused by lightning strike with a failure of an EDG and stuck-open SRV,3.00E-06,https://www.nrc.gov/docs/ML0602/ML060240384.pdf
Perry,9/1/2003,ESW pump failed due to shaft failure and inadequate repairs led to a subsequent failure,1.00E-06,https://www.nrc.gov/docs/ML0511/ML051190665.pdf
Fermi,8/14/2003,"Grid-related LOOP due to August 14, 2003 Northeast Blackout",2.00E-05,https://www.nrc.gov/docs/ML0509/ML050950555.pdf
Fitzpatrick,8/14/2003,"Grid-related LOOP due to August 14, 2003 Northeast Blackout",4.00E-06,https://www.nrc.gov/docs/ML0509/ML050950565.pdf
Ginna,8/14/2003,"Grid-related LOOP due to August 14, 2003 Northeast Blackout",3.00E-05,https://www.nrc.gov/docs/ML0509/ML050960036.pdf
Indian Point 2,8/14/2003,"Grid-related LOOP due to August 14, 2003 Northeast Blackout",6.00E-06,https://www.nrc.gov/docs/ML0509/ML050960041.pdf
Indian Point 3,8/14/2003,"Grid-related LOOP due to August 14, 2003 Northeast Blackout",7.00E-06,https://www.nrc.gov/docs/ML0509/ML050960051.pdf
Nine Mile Point 1,8/14/2003,"Grid-related LOOP due to August 14, 2003 Northeast Blackout",2.00E-05,https://www.nrc.gov/docs/ML0509/ML050960242.pdf
Nine Mile Point 2,8/14/2003,"Grid-related LOOP due to August 14, 2003 Northeast Blackout",2.00E-05,https://www.nrc.gov/docs/ML0509/ML050960252.pdf
Perry,8/14/2003,"Grid-related LOOP due to August 14, 2003 Northeast Blackout",3.00E-05,https://www.nrc.gov/docs/ML0509/ML050960263.pdf
Hope Creek,7/1/2003,SW traveling screen failed due to inadequate maintenance instructions,3.00E-06,https://www.nrc.gov/docs/ML0511/ML051190633.pdf
Oyster Creek,5/20/2003,Loss of vital bus due to ground fault in normally energized underground cable,1.00E-06,https://www.nrc.gov/docs/ML0517/ML051790372.pdf
St. Lucie 2,4/30/2003,RPV head leakage of two CRDM nozzles,4.00E-05,https://www.nrc.gov/docs/ML0631/ML063170247.pdf
Grand Gulf,4/24/2003,LOOP and subsequent loss of the instrument air system,1.00E-06,https://www.nrc.gov/docs/ML0627/ML062710045.pdf
Palisades,3/25/2003,LOOP and temporary loss of SDC,3.00E-06,https://www.nrc.gov/docs/ML0511/ML051190504.pdf
Nine Mile Point 1,3/7/2003,Potential unavailability of reactor building closed cooling system due to degraded piping,4.00E-06,https://www.nrc.gov/docs/ML0511/ML051190518.pdf
Kewaunee,2/26/2003,One EDG unavailable due to faulty relay with other EDG unavailable due to maintenance,4.00E-06,https://www.nrc.gov/docs/ML0602/ML060240375.pdf
Shearon Harris,12/20/2002,"Postulated fires could cause spurious actuation of certain valves resulting in a loss of charging pump, RCP seal cooling, loss of RCS inventory, and other conditions",9.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E262.pdf
Kewaunee,10/30/2002,Potentially unavailable safety-related equipment due to lack of fixed fire suppression system,1.00E-05,https://www.nrc.gov/docs/ML2011/ML20112J513.pdf
Point Beach 1,10/29/2002,Potential common-mode failure of all AFW pumps due to clogging of recirculation lines during switchover to SW,6.00E-05,https://www.nrc.gov/docs/ML2011/ML20114E142.pdf
Point Beach 2,10/29/2002,Potential common-mode failure of all AFW pumps due to clogging of recirculation lines during switchover to SW,4.00E-04,https://www.nrc.gov/docs/ML2011/ML20114E142.pdf
Indian Point 2,7/19/2002,Degraded MCR fire barrier,7.00E-06,https://www.nrc.gov/docs/ML2011/ML20112J068.pdf
Oconee 3,5/30/2002,Potential unavailability of a HPI pump due to improperly installed wire connectors during a postulated severe LOOP or HELB,3.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E069.pdf
Braidwood 1,4/16/2002,Inoperable PORV bleed path due to leaking air accumulators,4.00E-06,https://www.nrc.gov/docs/ML2011/ML20112F316.pdf
Davis-Besse,2/27/2002,"RPV head leakage of CRDM nozzles, potential unavailability of sump recirculation due to screen plugging, and potential unavailability of boron precipitation control",6.00E-03,https://www.nrc.gov/docs/ML2011/ML20112F488.pdf
Columbia,2/14/2002,Potential unavailability of four safety-related breakers due to degraded switches,6.00E-06,https://www.nrc.gov/docs/ML2011/ML20112F404.pdf
Shearon Harris,12/18/2001,Degraded fire barrier and lack of fire brigade training could result in unavailability of a train of safety equipment and TDAFW pump flow control,6.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E210.pdf
Callaway,12/3/2001,Potential unavailabilities of ESW and AFW pump due to foreign material with a CCW pump inoperable due to improper maintenance,1.00E-05,https://www.nrc.gov/docs/ML2011/ML20112F370.pdf
Point Beach 1,11/29/2001,Potential common-mode failure of all AFW due to design deficiency of minimum flow recirculation valves and potential loss of feed and bleed capability during postulated loss of instrument air,6.00E-04,https://www.nrc.gov/docs/ML2011/ML20114E135.pdf
Point Beach 2,11/29/2001,Potential common-mode failure of all AFW due to design deficiency of minimum flow recirculation valves and potential loss of feed and bleed capability during postulated loss of instrument air,7.00E-04,https://www.nrc.gov/docs/ML2011/ML20114E135.pdf
North Anna 1,11/13/2001,RPV head leakage of one CRDM nozzle,4.00E-05,https://www.nrc.gov/docs/ML0631/ML063170247.pdf
North Anna 2,11/13/2001,RPV head leakage of one CRDM nozzle,2.00E-04,https://www.nrc.gov/docs/ML0631/ML063170247.pdf
Surry 1,10/28/2001,RPV head leakage of two CRDM nozzles,8.00E-05,https://www.nrc.gov/docs/ML0631/ML063170247.pdf
Three Mile Island 1,10/12/2001,RPV head leakage of eight thermocouple nozzles and five CRDM nozzles,7.00E-05,https://www.nrc.gov/docs/ML0631/ML063170247.pdf
Shearon Harris,10/8/2001,Both trains of RHR potentially unavailable due to debris entrapment and inoperable isolation valve,6.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E215.pdf
Crystal River,10/1/2001,RPV head leakage of one CRDM nozzle,4.00E-06,https://www.nrc.gov/docs/ML0631/ML063170247.pdf
Palisades,9/11/2001,Potential unavailability of safety-related equipment during a postulated fire due to improper installation of smoke detectors,1.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E132.pdf
LaSalle 2,9/3/2001,"Reactor scram, loss of power to vital bus, and unavailabilities of CSS, RHR, and CRD pumps",1.00E-05,https://www.nrc.gov/docs/ML2011/ML20112J645.pdf
D.C. Cook 1,8/29/2001,EDGs potentially unavailable due to lack of ESW flow caused by a deformed strainer and TDAFW pump inoperable due to failed latching mechanism,1.00E-05,https://www.nrc.gov/docs/ML2011/ML20112F482.pdf
ANO 1,8/20/2001,Potential unavailability of safety-related equipment during a postulated fire due to improper fire protection and procedures,4.00E-06,https://www.nrc.gov/docs/ML2011/ML20112F251.pdf
D.C. Cook 2,8/9/2001,EDGs potentially unavailable due to lack of ESW flow caused by a deformed strainer and TDAFW pump inoperable due to failed latching mechanism,7.00E-06,https://www.nrc.gov/docs/ML2011/ML20112F482.pdf
Quad Cities 2,8/2/2001,LOOP due to a transformer failure caused by lightning,5.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E200.pdf
Dresden 3,7/19/2001,HPCI inoperable due to water hammer event,3.00E-06,https://www.nrc.gov/docs/ML2011/ML20112H736.pdf
Palisades,6/21/2001,RPV head leakage of one CRDM nozzle,7.00E-05,https://www.nrc.gov/docs/ML0631/ML063170247.pdf
Oconee 1,4/30/2001,Potential unavailability of HPI and CCW pumps due to flooding caused by a postulated break on non-seismically qualified piping,4.00E-06,https://www.nrc.gov/docs/ML2011/ML20113E944.pdf
Calvert Cliffs 1,5/16/2001,TDAFW pump inoperable due to sealant intrusion,1.00E-05,https://www.nrc.gov/docs/ML2011/ML20112F385.pdf
Oconee 2,4/30/2001,Potential unavailability of HPI and CCW pumps due to flooding caused by a postulated break on non-seismically qualified piping,1.00E-06,https://www.nrc.gov/docs/ML2011/ML20113E944.pdf
Oconee 3,4/30/2001,Potential unavailability of HPI and CCW pumps due to flooding caused by a postulated break on non-seismically qualified piping,1.00E-06,https://www.nrc.gov/docs/ML2011/ML20113E944.pdf
Oconee 2,4/28/2001,RPV head leakage of four CRDM nozzles,1.00E-04,https://www.nrc.gov/docs/ML0631/ML063170247.pdf
Surry 1,4/23/2001,EDG unavailable due to abnormal wear of piston rings,3.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E266.pdf
Surry 2,4/23/2001,EDG unavailable due to abnormal wear of piston rings,6.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E266.pdf
Fermi,3/28/2001,EDG unavailable due to degraded bearing,3.00E-06,https://www.nrc.gov/docs/ML2011/ML20112H840.pdf
ANO 1,3/24/2001,RPV head leakage of one CRDM nozzle,8.00E-05,https://www.nrc.gov/docs/ML0631/ML063170247.pdf
Limerick 2,2/23/2001,Inadvertent opening and stuck open main steam relief valve,3.00E-06,https://www.nrc.gov/docs/ML2011/ML20113E931.pdf
Oconee 3,2/18/2001,RPV head leakage of nine CRD rod mechanism nozzles,3.00E-04,https://www.nrc.gov/docs/ML0631/ML063170247.pdf
Oconee 1,12/4/2000,RPV head leakage of five thermocouple nozzles and one CRDM nozzle,3.00E-04,https://www.nrc.gov/docs/ML0631/ML063170247.pdf
Prairie Island 1,11/1/2000,Potential unavailability of SW pumps due to improper design modification of backflush system and failure of vacuum valves,1.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E161.pdf
Prairie Island 2,11/1/2000,Potential unavailability of SW pumps due to improper design modification of backflush system and failure of vacuum valves,1.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E161.pdf
Summer,9/21/2000,TDAFW train unavailable due to out-of-position valve with an EDG out for maintenance,4.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E263.pdf
Millstone 2,9/20/2000,TDAFW pump potentially inoperable due to governor malfunction,2.00E-06,https://www.nrc.gov/docs/ML2011/ML20113E936.pdf
Diablo Canyon 1,5/15/2000,LOOP caused by transformer and bus faults,4.00E-04,https://www.nrc.gov/docs/ML2011/ML20112H532.pdf
Oconee 1,4/1/2000,HPI pumps not capable of using the SFP with operators potentially unable to align ASW pump during a postulated tornado,5.00E-06,https://www.nrc.gov/docs/ML2011/ML20113E940.pdf
Oconee 2,4/1/2000,HPI pumps not capable of using the SFP with operators potentially unable to align ASW pump during a postulated tornado,4.00E-06,https://www.nrc.gov/docs/ML2011/ML20113E940.pdf
Oconee 3,4/1/2000,HPI pumps not capable of using the SFP with operators potentially unable to align ASW pump during a postulated tornado,4.00E-06,https://www.nrc.gov/docs/ML2011/ML20113E940.pdf
Indian Point 2,2/15/2000,SG tube failure (75 gpm),5.00E-04,https://www.nrc.gov/docs/ML2011/ML20112J239.pdf
Salem 2,2/14/2000,Degraded CO2 suppression for 4.16kV safety-related switchgear rooms,1.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E204.pdf
D.C. Cook 1,12/30/1999,Containment sump recirculation potentially inoperable due to pressure locking,4.00E-05,https://www.nrc.gov/docs/ML2011/ML20112F469.pdf
D.C. Cook 2,12/30/1999,Containment sump recirculation potentially inoperable due to pressure locking,4.00E-05,https://www.nrc.gov/docs/ML2011/ML20112F469.pdf
D.C. Cook 1,10/22/1999,"AFW, EDG, and electrical equipment potentially unavailable due to postulated HELBs",4.00E-04,https://www.nrc.gov/docs/ML2011/ML20112F420.pdf
D.C. Cook 2,10/22/1999,"AFW, EDG, and electrical equipment potentially unavailable due to postulated HELBs",4.00E-04,https://www.nrc.gov/docs/ML2011/ML20112F420.pdf
Indian Point 2,8/31/1999,Plant-centered LOOP (degraded voltage control relay) with an EDG unavailable due to failed output breaker,2.00E-05,https://www.nrc.gov/docs/ML2011/ML20112J404.pdf
D.C. Cook 1,6/11/1999,Potential unavailability of ESW system due to multiple problems with back-flushing capability,3.00E-05,https://www.nrc.gov/docs/ML2011/ML20112F416.pdf
D.C. Cook 2,6/11/1999,Potential unavailability of ESW system due to multiple problems with back-flushing capability,3.00E-05,https://www.nrc.gov/docs/ML2011/ML20112F416.pdf
Oconee 1,2/24/1999,Potential unavailability of 4.16kV safety-related switchgear due to postulated HELBs,8.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E065.pdf
Oconee 2,2/24/1999,Potential unavailability of 4.16kV safety-related switchgear due to postulated HELBs,6.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E065.pdf
Oconee 3,2/24/1999,Potential unavailability of 4.16kV safety-related switchgear due to postulated HELBs,5.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E065.pdf
Davis-Besse,10/14/1998,LOOP due to a tornado,6.00E-04,https://www.nrc.gov/docs/ML2011/ML20112F524.pdf
Byron 1,9/12/1998,EDG unavailable due to clogged lube oil strainers,6.00E-06,https://www.nrc.gov/docs/ML2011/ML20112F322.pdf
Big Rock Point,7/14/1998,Liquid poison control system unavailable due to corroded discharge pipe,1.00E-05,https://www.nrc.gov/docs/ML2011/ML20112F278.pdf
D.C. Cook 2,7/4/1998,Potential HELB with unqualified access doors could cause failure of adjacent CCW pumps,3.00E-06,https://www.nrc.gov/docs/ML2011/ML20112F486.pdf
Davis-Besse,6/24/1998,Vital and non-vital bus lockout caused by maintenance error results in CCW system leak and manual reactor trip,1.00E-05,https://www.nrc.gov/docs/ML2011/ML20112F526.pdf
Oconee 1,2/12/1998,Potential unavailability of recirculation due to miscalibration of BWST level transmitter and inaccurate calculations,2.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E063.pdf
Oconee 2,2/12/1998,Potential unavailability of recirculation due to miscalibration of BWST level transmitter and inaccurate calculations,2.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E063.pdf
Oconee 3,2/12/1998,Potential unavailability of recirculation due to miscalibration of BWST level transmitter and inaccurate calculations,1.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E063.pdf
San Onofre 2,2/5/1998,Sump recirculation valve inoperable due to jammed line starter,7.00E-06,https://www.nrc.gov/docs/ML2011/ML20114E207.pdf
St. Lucie 1,11/2/1997,Recirculation potentially unavailable during postulated LLOCA due to incorrect recirculation actuation signal set point,2.00E-05,https://www.nrc.gov/docs/ML2014/ML20140A208.pdf
Three Mile Island 1,6/21/1997,LOOP due failed generator output breakers with a PORV failed closed,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20140A215.pdf
Oconee 3,5/3/1997,Two HPI pumps damaged due to inadequate NPSH caused by a leak in the letdown storage tank,4.00E-06,https://www.nrc.gov/docs/ML2013/ML20135H298.pdf
Oconee 2,4/21/1997,Unisolable RCS leak (12 gpm) from HPI piping,2.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H296.pdf
Maine Yankee,1/22/1997,Potential unavailability of hot leg recirculation due to pressure locking of key valves,1.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G973.pdf
Haddam Neck,9/1/1996,Potentially inadequate RHR pump NPSH following a LOCA,1.00E-04,https://www.nrc.gov/docs/ML2013/ML20135G961.pdf
Haddam Neck,8/1/1996,RHR pump unavailable due to manufacturing defects and marginal pump design,3.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G962.pdf
Prairie Island 2,6/29/1996,LOOP caused by high winds,5.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H311.pdf
Prairie Island 1,6/29/1996,LOOP caused by high winds,5.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H311.pdf
LaSalle 1,6/28/1996,Reactor scram and increased potential for loss of SW due to sealant intrusion,7.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G970.pdf
LaSalle 2,6/28/1996,Reactor scram and increased potential for loss of SW due to sealant intrusion,7.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G970.pdf
Byron 1,5/23/1996,LOOP caused by (transformer fault while in Mode 4,2.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G730.pdf
Seabrook,5/21/1996,TDAFW pump inoperable due to improper installation of mechanical seal,5.00E-05,https://www.nrc.gov/docs/ML2014/ML20140A199.pdf
ANO 1,5/19/1996,Reactor trip and stuck open main steam relief valve causes SG dry-out condition,6.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G722.pdf
Catawba 2,2/6/1996,LOOP caused by transformer ground faults with an EDG unavailable due to maintenance,2.00E-03,https://www.nrc.gov/docs/ML2013/ML20135G735.pdf
McGuire 2,3/6/1996,EDG potentially unavailable due to air entrapment,2.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G976.pdf
Wolf Creek,1/30/1996,Frazil ice buildup leads to loss of main condenser vacuum and subsequent reactor trip and loss of ESW train and TDAFW pump inoperable,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20140A225.pdf
Salem 1,1/10/1996,Charging pumps potentially unavailable due to pressure locking of key valves,6.00E-06,https://www.nrc.gov/docs/ML2013/ML20135H319.pdf
Salem 2,1/10/1996,Charging pumps potentially unavailable due to pressure locking of key valves,6.00E-06,https://www.nrc.gov/docs/ML2013/ML20135H319.pdf
St. Lucie 2,11/3/1995,EDG unavailable due to cracked sockets,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20140A210.pdf
D.C. Cook 1,9/12/1995,HPI pump unavailable due to miscalibrated relay,8.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G740.pdf
Limerick 1,9/11/1995,Potential loss of RHR due to debris plugging of suppression pool strainers,9.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G972.pdf
St. Lucie 1,8/2/1995,PORVs inoperable due to incorrect reassembly with RCP seal degradation and SDC unavailable due to failed relief valve,9.00E-05,https://www.nrc.gov/docs/ML2014/ML20140A207.pdf
ANO 2,7/19/1995,Potential unavailabilities of both AFW trains due to wiring error,1.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G724.pdf
Comanche Peak 1,6/11/1995,Reactor trip with a failure of the TDAFW pump and MDAFW unavailable due to testing,7.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G738.pdf
Waterford,6/10/1995,Electrical failure leads to reactor trip and loss of safety bus with degraded SDC during recovery,3.00E-05,https://www.nrc.gov/docs/ML2014/ML20140A222.pdf
ANO 1,4/20/1995,Reactor trip with MDAFW train unavailable,6.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G721.pdf
Haddam Neck,3/9/1995,HPI and LPI valves potentially inoperable due to pressure locking,5.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G960.pdf
Millstone 2,1/25/1995,Containment sump isolation valves potentially inoperable due to pressure locking,3.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G978.pdf
Turkey Point 3,11/3/1994,SI load sequencers potentially inoperable due to software errors,2.00E-06,https://www.nrc.gov/docs/ML2014/ML20140A218.pdf
Turkey Point 4,11/3/1994,SI load sequencers potentially inoperable due to software errors,2.00E-06,https://www.nrc.gov/docs/ML2014/ML20140A218.pdf
Wolf Creek,9/17/1994,"RCS blowdown (9,200 gallons) to the RWST",3.00E-03,https://www.nrc.gov/docs/ML2014/ML20140A224.pdf
River Bend,9/8/1994,Reactor scram with RCIC and CRD injection unavailable,2.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H315.pdf
Dresden 2,8/4/1994,HPCI pump inoperable due to failed check valve,3.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G746.pdf
Dresden 2,6/8/1994,All MCCs potentially unavailable due to improper feeder breaker settings,6.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G745.pdf
Zion 2,3/7/1994,TDAFW pump inoperable with EDG failure caused by blown fuse and zebra mussels,2.00E-05,https://www.nrc.gov/docs/ML2014/ML20140A230.pdf
Haddam Neck,2/16/1994,Potential unavailability of MCC due to ABT failure with potential unavailability of PORVs,1.00E-04,https://www.nrc.gov/docs/ML2013/ML20135G959.pdf
Point Beach 1,2/8/1994,EDG inoperable due to fuel pump failure while other EDG out for maintenance,1.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H309.pdf
Point Beach 2,2/8/1994,EDG inoperable due to fuel pump failure while other EDG out for maintenance,1.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H309.pdf
Calvert Cliffs 2,1/12/1994,"Reactor trip, loss of 13.8kV bus resulting in partial LOOP, and short-term loss of salt water cooling",1.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G733.pdf
McGuire 2,12/27/1993,LOOP due to failed switchyard insulator and MSIV failing to shut causes potential SG dry out,9.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G975.pdf
Beaver Valley 2,11/6/1993,Both EDG load sequencers inoperable,2.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G726.pdf
Beaver Valley 1,10/12/1993,LOOP caused by improper breaker maintenance,6.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G725.pdf
ANO 1,9/30/1993,Both trains of recirculation inoperable,5.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G720.pdf
LaSalle 1,9/14/1993,LOOP due to transformer fault,1.00E-04,https://www.nrc.gov/docs/ML2013/ML20135G969.pdf
D.C. Cook 2,8/2/1993,Reactor trip with MDAFW pump degraded,2.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G741.pdf
Haddam Neck,6/27/1993,"Potential unavailability of MCC due to ABT failure, both EDGs degraded, and potential unavailability of feed and bleed capability due the PORV air leak",7.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G958.pdf
Quad Cities 2,4/22/1993,Two EDGs potentially unavailable,6.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H314.pdf
North Anna 2,4/16/1993,Reactor trip with all AFW pumps disabled by operators,1.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G982.pdf
Perry,3/26/1993,"Reactor scram, clogged suppression pool strainers, and SW rupture",1.00E-04,https://www.nrc.gov/docs/ML2013/ML20135H305.pdf
Palo Verde 2,3/14/1993,SGTR (240 gpm),5.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H301.pdf
Pilgrim,3/13/1993,LOOP caused by ice storm,5.00E-06,https://www.nrc.gov/docs/ML2013/ML20135H308.pdf
